method,condition,codec,kbps,pix_fmt,lossless,group,mae,ci_low,ci_high,n_subjects
chrom,h264_100k,h264,100.0,yuv420p,False,I-III,21.834785623643942,16.712267320224072,26.577968768098955,18
chrom,h264_100k,h264,100.0,yuv420p,False,IV-VI,24.220088773264383,17.66818313220051,30.29686524455652,18
chrom,h264_1600k,h264,1600.0,yuv420p,False,I-III,16.116332386154,9.553828153908555,23.122273360532535,18
chrom,h264_1600k,h264,1600.0,yuv420p,False,IV-VI,23.645049496702164,17.98977808781681,29.622139715664225,18
chrom,h264_200k,h264,200.0,yuv420p,False,I-III,20.14375009499934,14.966926570284354,25.31980874760934,18
chrom,h264_200k,h264,200.0,yuv420p,False,IV-VI,23.496225337861986,17.91478612646548,29.25664617963956,18
chrom,h264_400k,h264,400.0,yuv420p,False,I-III,18.351558475257953,12.641087437393391,24.239498193230972,18
chrom,h264_400k,h264,400.0,yuv420p,False,IV-VI,24.303195022524616,18.907767724281584,29.484200843611575,18
chrom,h264_444_100k,h264,100.0,yuv444p,False,I-III,23.982196540493604,18.90735924498031,29.244011138590302,18
chrom,h264_444_100k,h264,100.0,yuv444p,False,IV-VI,24.93952968710411,18.657956304598915,31.265473765547657,18
chrom,h264_444_1600k,h264,1600.0,yuv444p,False,I-III,22.044475716486478,17.238712530127376,27.617189574127885,18
chrom,h264_444_1600k,h264,1600.0,yuv444p,False,IV-VI,23.972997053692904,17.363568262139413,30.626525238184122,18
chrom,h264_444_200k,h264,200.0,yuv444p,False,I-III,23.03130847663657,18.13447216227377,28.242956242898785,18
chrom,h264_444_200k,h264,200.0,yuv444p,False,IV-VI,24.59901220739817,18.241504949185774,30.876073475128283,18
chrom,h264_444_400k,h264,400.0,yuv444p,False,I-III,22.089211713040424,16.727945481850263,27.268842664731423,18
chrom,h264_444_400k,h264,400.0,yuv444p,False,IV-VI,24.42052311895221,18.60877726926451,30.780102455103297,18
chrom,h264_444_800k,h264,800.0,yuv444p,False,I-III,21.516309336221084,16.38183669750952,27.155240607611915,18
chrom,h264_444_800k,h264,800.0,yuv444p,False,IV-VI,23.543589031396596,17.584009866550137,29.7086563614711,18
chrom,h264_800k,h264,800.0,yuv420p,False,I-III,16.428031129559045,10.662738561374093,22.993764883134038,18
chrom,h264_800k,h264,800.0,yuv420p,False,IV-VI,24.36811159588713,18.432164262875233,30.653054558149776,18
chrom,h265_100k,h265,100.0,yuv420p,False,I-III,17.288459726575795,11.64419485201018,22.644592902171713,18
chrom,h265_100k,h265,100.0,yuv420p,False,IV-VI,23.763246064372332,17.821039215846483,30.332890275200405,18
chrom,h265_1600k,h265,1600.0,yuv420p,False,I-III,16.59168977997551,10.14455962228062,23.680632040123793,18
chrom,h265_1600k,h265,1600.0,yuv420p,False,IV-VI,23.74263603040034,17.707105372124975,29.773234100998028,18
chrom,h265_200k,h265,200.0,yuv420p,False,I-III,17.191191087098925,11.413045654694345,23.832582505310647,18
chrom,h265_200k,h265,200.0,yuv420p,False,IV-VI,23.506051474828595,17.90418373886199,29.30606795469419,18
chrom,h265_400k,h265,400.0,yuv420p,False,I-III,17.474771682172435,11.09588584424352,24.978693035804564,18
chrom,h265_400k,h265,400.0,yuv420p,False,IV-VI,23.600091524814943,17.96403189841335,29.345702316744653,18
chrom,h265_800k,h265,800.0,yuv420p,False,I-III,17.303108980297996,10.05977892694526,25.384931525435892,18
chrom,h265_800k,h265,800.0,yuv420p,False,IV-VI,23.600966121809844,17.767697441098978,29.738962401949284,18
chrom,lossless_rgb,ffv1,,bgr0,True,I-III,11.425212819046072,5.092807554290486,18.536183890935874,18
chrom,lossless_rgb,ffv1,,bgr0,True,IV-VI,21.392353222616336,14.786747983154111,28.053799963361108,18
chrom,lossless_yuv420,h264,,yuv420p,True,I-III,11.164384149668463,5.08092120770301,18.93338067475177,18
chrom,lossless_yuv420,h264,,yuv420p,True,IV-VI,21.289347167910098,14.605249031497621,27.63767878998809,18
chrom,lossless_yuv444,h264,,yuv444p,True,I-III,10.806544432935338,4.213827083955338,18.457288538977615,18
chrom,lossless_yuv444,h264,,yuv444p,True,IV-VI,22.239975583032965,16.17131045582096,28.585240708298148,18
chrom,vp9_100k,vp9,100.0,yuv420p,False,I-III,20.926247130468678,16.03340696469566,26.561551420034665,18
chrom,vp9_100k,vp9,100.0,yuv420p,False,IV-VI,24.35570544177764,18.309521160636816,30.278531522100156,18
chrom,vp9_1600k,vp9,1600.0,yuv420p,False,I-III,11.48321790788598,6.387402783345399,19.29879462081148,18
chrom,vp9_1600k,vp9,1600.0,yuv420p,False,IV-VI,23.521898066001416,16.902158445345574,29.84263139497278,18
chrom,vp9_200k,vp9,200.0,yuv420p,False,I-III,19.16589350357103,13.728753702334963,25.502442796242587,18
chrom,vp9_200k,vp9,200.0,yuv420p,False,IV-VI,25.273957393403204,19.52664817300521,30.46502344621742,18
chrom,vp9_400k,vp9,400.0,yuv420p,False,I-III,14.665731786441427,8.59861358093613,21.714238401098868,18
chrom,vp9_400k,vp9,400.0,yuv420p,False,IV-VI,23.87476384629754,17.96258547220277,29.436802140269474,18
chrom,vp9_800k,vp9,800.0,yuv420p,False,I-III,11.333153598664012,6.292185881974002,17.16804075787209,18
chrom,vp9_800k,vp9,800.0,yuv420p,False,IV-VI,22.95647056649635,16.6416063156355,28.865220174812563,18
factorizephys,h264_100k,h264,100.0,yuv420p,False,I-III,16.56555145290979,12.477259811803476,21.196863677916607,18
factorizephys,h264_100k,h264,100.0,yuv420p,False,IV-VI,20.82979989764999,16.34082364300459,25.67049665875408,18
factorizephys,h264_1600k,h264,1600.0,yuv420p,False,I-III,13.976274031652604,9.867205290876136,19.021497134939825,18
factorizephys,h264_1600k,h264,1600.0,yuv420p,False,IV-VI,19.968367379070454,15.889135441642717,24.046636648512152,18
factorizephys,h264_200k,h264,200.0,yuv420p,False,I-III,17.707590066055715,12.877468250639774,23.174165780388975,18
factorizephys,h264_200k,h264,200.0,yuv420p,False,IV-VI,21.809527303180968,16.751154603643478,27.348529356449056,18
factorizephys,h264_400k,h264,400.0,yuv420p,False,I-III,16.238760813716176,11.75138201276997,21.744092598034076,18
factorizephys,h264_400k,h264,400.0,yuv420p,False,IV-VI,20.15759789400728,15.905450184995932,25.527315516320083,18
factorizephys,h264_800k,h264,800.0,yuv420p,False,I-III,15.809931462504611,11.664070839602266,21.06942358213615,18
factorizephys,h264_800k,h264,800.0,yuv420p,False,IV-VI,20.745801240970792,16.428588295497768,25.139527120743594,18
factorizephys,lossless_rgb,ffv1,,bgr0,True,I-III,10.197520295902141,6.41538410616099,14.972714545547165,18
factorizephys,lossless_rgb,ffv1,,bgr0,True,IV-VI,19.76648377970089,14.082343241963027,25.916808468000045,18
green,h264_100k,h264,100.0,yuv420p,False,I-III,22.020147789186233,17.099008600388252,26.801906810488862,18
green,h264_100k,h264,100.0,yuv420p,False,IV-VI,25.632993631154864,19.645834562307392,31.38167796273133,18
green,h264_1600k,h264,1600.0,yuv420p,False,I-III,20.114739994164342,15.724393883894631,24.804617256520153,18
green,h264_1600k,h264,1600.0,yuv420p,False,IV-VI,25.161379987522572,18.918646204890514,31.354812016670262,18
green,h264_200k,h264,200.0,yuv420p,False,I-III,21.66037455261303,17.383202307510718,26.189480838761234,18
green,h264_200k,h264,200.0,yuv420p,False,IV-VI,25.214808326215486,19.566901028508116,30.68664273375594,18
green,h264_400k,h264,400.0,yuv420p,False,I-III,21.03406478286256,16.234995941609302,25.272593322183823,18
green,h264_400k,h264,400.0,yuv420p,False,IV-VI,24.926921281262985,19.148783909222512,31.27615870933054,18
